id,assessment,farm_name,farm_type,crop_type,stage,process,input,material,value,unit,gwp_hectarefarm,gwp_mt_seaweed,total_gwp_farm,stage_total,process_total,gwp_kl,percent_total,emission_factor,reference
69,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,Pretreatment and conditioning,Process water,Process water,6127,kg/kL bioethanol,,0.62,,,,1.95,,0,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
70,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,Pretreatment and conditioning,Electricity,Electricity,169,kWh/kL bioethanol,,30.7,,,,97,,0.574,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
71,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,Pretreatment and conditioning,Thermal energy,Thermal energy,92434,kcal/kL bioethanol,,10.95,,,,34.6,,0,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
72,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,Enzyme Hydrolysis and fermentation,Enzyme complex,Enzyme complex,24.8,kg/kL bioethanol,,27.5,,,,86.9,,3.504,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
73,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,Enzyme Hydrolysis and fermentation,Seed Strain,Seed Strain,0.33,kg/kL bioethanol,,0.29,,,,0.91,,2.758,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
74,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,Enzyme Hydrolysis and fermentation,Diammonium phosphate,Diammonium phosphate,5.01,kg/kL bioethanol,,2.1,,,,6.64,,1.325,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
75,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,Enzyme Hydrolysis and fermentation,Steep liquor,Steep liquor,34.6,kg/kL bioethanol,,0.2,,,,0.62,,0.018,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
76,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,Enzyme Hydrolysis and fermentation,Process water,Process water,1048,kg/kL bioethanol,,0.1,,,,0.33,,0,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
77,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,Enzyme Hydrolysis and fermentation,Electricity,Electricity,78.6,kWh/kL bioethanol,,14.24,,,,45,,0.573,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
78,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,Distillation,Electricity,Electricity,63.3,kWh/kL bioethanol,,11.49,,,,36.3,,0.573,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
79,seaweed ethanol,Ethanol Farm 1,long-line,Saccharina japonica,bioethanol production,Distillation,Thermal energy,Thermal energy,984633,kcal/kL bioethanol,,116.77,,,,369,,0,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
80,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,cultivation,cultivation,nitrogen,nitrogen,35.9,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
81,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,cultivation,cultivation,phosphorus,phosphorus,12.4,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
82,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,cultivation,cultivation,potassium,potassium,13.4,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
83,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,cultivation,cultivation,lime,lime,52.8,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
84,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,cultivation,cultivation,herbicide,,1.31,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
85,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,cultivation,cultivation,insecticide,,0.05,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
86,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,cultivation,cultivation,irrigation water,irrigation water,1222048,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
87,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,cultivation,cultivation,fuel,gasoline,2.8,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
88,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,cultivation,cultivation,fuel,diesel,13.7,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
89,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,cultivation,cultivation,fuel,liquefied petroleum gas,6.9,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
90,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,cultivation,cultivation,fuel,natural gas,4.02,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
91,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,cultivation,cultivation,electricity,electricity,26.2,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
92,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,transportation,transportation,"lorry, 15 tonne",,47.67,tkm,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
93,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,bioethanol production,bioethanol production,alpha amylase,alpha amylase,0.86,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
94,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,bioethanol production,bioethanol production,gucoamlylase,gucoamlylase,1.45,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
95,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,bioethanol production,bioethanol production,yeast,,0.86,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
96,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,bioethanol production,bioethanol production,process water,process water,5352,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
97,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,bioethanol production,bioethanol production,electricity,electricity,238,kWh,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
98,corn grain ethanol,Ethanol Farm 2,terrestrial,corn grain,bioethanol production,bioethanol production,thermal energy,thermal energy,6089,MJ,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
99,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,cultivation,cultivation,nitrogen,nitrogen,22.4,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
100,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,cultivation,cultivation,phosphorus,phosphorus,7.36,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
101,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,cultivation,cultivation,potassium,potassium,35.3,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
102,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,cultivation,cultivation,irrigation water,irrigation water,150739,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
103,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,cultivation,cultivation,fuel,gasoline,3.45,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
104,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,cultivation,cultivation,fuel,diesel,16.9,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
105,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,cultivation,cultivation,fuel,liquefied petroleum gas,8.53,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
106,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,cultivation,cultivation,fuel,natural gas,4.96,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
107,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,cultivation,cultivation,electricity,electricity,32.3,kWh,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
108,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,transportation,transportation,grinding,electricity,26.1,kWh,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
109,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,transportation,transportation,"lorry, 15 tonne","lorry, 15 tonne",58.9,tkm,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
110,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,bioethanol production,feed handling,electricity,electricity,24.3,kWh,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
111,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,bioethanol production,Pretreatment and conditioning,sulfuric acid,sulfuric acid,56,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
112,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,bioethanol production,Pretreatment and conditioning,ammonia,ammonia,29.7,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
113,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,bioethanol production,Pretreatment and conditioning,Process water,Process water,5808,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
114,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,bioethanol production,Pretreatment and conditioning,electricity,electricity,160,kWh,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
115,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,bioethanol production,Pretreatment and conditioning,Thermal energy,Thermal energy,87614,kcal,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
116,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,bioethanol production,hydrolysis and fermentation,cellulase,cellulase,23.6,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
117,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,bioethanol production,hydrolysis and fermentation,seed strain,,0.32,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
118,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,bioethanol production,hydrolysis and fermentation,Diammonium phosphate,Diammonium phosphate,4,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
119,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,bioethanol production,hydrolysis and fermentation,corn steep liquor,corn steep liquor,32.8,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
120,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,bioethanol production,hydrolysis and fermentation,Process water,Process water,993,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
121,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,bioethanol production,hydrolysis and fermentation,electricity,electricity,74.5,kWh,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
122,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,bioethanol production,hydrolysis and fermentation,distillation electricity,electricity,60,kWh,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
123,corn stover ethanol,Ethanol Farm 3,terrestrial,corn stover,bioethanol production,hydrolysis and fermentation,Thermal energy,Thermal energy,933287,kcal,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
124,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,cultivation,cultivation,N,N,22.9,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
125,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,cultivation,cultivation,P,P,6.42,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
126,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,cultivation,cultivation,K,K,26.3,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
127,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,cultivation,cultivation,Lime,Lime,28.7,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
128,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,cultivation,cultivation,herbicide,,0.79,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
129,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,cultivation,cultivation,fuel,diesel,10.6,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
130,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,transportation,transportation,grinding,electricity,23.2,kWh,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
131,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,transportation,transportation,"lorry, 15 tonne","lorry, 15 tonne",61.2,tkm,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
132,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,bioethanol production,feed handling,electricity,electricity,25.2,kWh,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
133,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,bioethanol production,Pretreatment and conditioning,sulfuric acid,sulfuric acid,58.2,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
134,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,bioethanol production,Pretreatment and conditioning,ammonia,ammonia,30.9,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
135,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,bioethanol production,Pretreatment and conditioning,Process water,Process water,6033,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
136,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,bioethanol production,Pretreatment and conditioning,electricity,electricity,166,kWh,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
137,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,bioethanol production,Pretreatment and conditioning,Thermal energy,Thermal energy,91009,kcal,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
138,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,bioethanol production,hydrolysis and fermentation,cellulase,cellulase,24.5,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
139,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,bioethanol production,hydrolysis and fermentation,seed strain,seed strain,0.34,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
140,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,bioethanol production,hydrolysis and fermentation,Diammonium phosphate,Diammonium phosphate,4.16,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
141,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,bioethanol production,hydrolysis and fermentation,corn steep liquor,corn steep liquor,34,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
142,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,bioethanol production,hydrolysis and fermentation,Process water,Process water,1032,kg,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
143,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,bioethanol production,hydrolysis and fermentation,electricity,electricity,77.4,kWh,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
144,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,bioethanol production,hydrolysis and fermentation,distillation electricity,electricity,62.4,kWh,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
145,switchgrass ethanol,Ethanol Farm 4,terrestrial,switchgrass,bioethanol production,hydrolysis and fermentation,Thermal energy,Thermal energy,969461,kcal,,,,,,,,,"Jung, K. A., Lim, S.-R., Kim, Y., & Park, J. M. (2017). Opportunity and challenge of seaweed bioethanol based on life cycle CO2 assessment. Environmental progress & sustainable energy, 36(1), 200–207."
146,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,standard drying,"US Class 8 Freight Truck (40,000lb capacity)",diesel,50,tkm,,52.5,,,,,,,
147,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,standard drying,min energy for drying,US process steam from natural gas,4995.8,MJ,,425.4,,,,,,,
148,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,standard drying,min energy for drying,US process steam from light fuel oil,4995.8,MJ,,538.6,,,,,,,
149,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,standard drying,min energy for drying,US 2018 electricity grid mix,4995.8,MJ,,659.6,,,,,,,
150,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,standard drying,max energy for drying,US process steam from natural gas,22980.8,MJ,,1957,,,,,,,
151,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,standard drying,max energy for drying,US process steam from light fuel oil,22980.8,MJ,,2477.6,,,,,,,
152,seaweed animal feed,Animal Feed Parameters,long-line,Saccharina latissima,seaweed animal feed production,standard drying,max energy for drying,US 2018 electricity grid mix,22980.8,MJ,,3034.2,,,,,,,
